Index,Name,Description,Category,Price,Stock,Color,Size
1,Thermostat Drone Heater,Consumer approach woman us those star.,Kitchen Appliances,74,139,Orchid,Medium
2,Ultra Speaker Iron Grill Advanced One,Point suggest easy money operation could white.,Fitness Equipment,510,351,MediumSeaGreen,Small
3,Watch Headphones Kettle,Reach husband education.,Beauty & Personal Care,254,409,Lavender,XXL
4,Portable Toaster Clock Monitor Silent,Always choose school poor table main.,Makeup,69,119,Pink,XL
5,Pro Toaster Oven,Worry put discuss easy back too career.,Automotive,525,727,LightCoral,XL
6,Mini Speakerphone Mixer,Tell figure discussion chair red keep tough.,Team Sports,413,566,OliveDrab,Medium
7,Eco Cooler Printer Speaker Prime Prime,Cover close myself camera red evening.,Health & Wellness,621,245,Moccasin,Extra Large
8,Webcam Trimmer Projector,Fear fight until market court worry security trouble.,Laptops & Computers,414,559,HoneyDew,XL
9,Silent Headphones Stove Wireless Air Clean,Truth gun Democrat commercial.,Home & Kitchen,858,525,Chocolate,5x7 in
10,Wireless Charger Air Premium Ultra,Public security home.,Health & Wellness,153,550,MediumPurple,S
11,Portable Fan Monitor Toaster Pro Smart Air,Number create north effect deep third hard.,Health & Wellness,738,417,LightPink,12x18 in
12,Mini Iron Drone,Small meet inside career walk company.,Shoes & Footwear,367,511,WhiteSmoke,S
13,Smart Grill Tablet Fridge Sense,Eat describe discussion today.,Grooming Tools,867,679,SaddleBrown,XL
14,Portable Grill Air Edge,Probably someone several moment if.,Clothing & Apparel,356,904,DarkBlue,S
15,Premium Brush Scale Grill Plus Plus,Fire your stuff.,Smartwatches,439,987,MintCream,M
16,Vacuum Router Toaster,Work subject ten firm more price.,Team Sports,245,412,LightSeaGreen,L
17,Digital Clock Lock Eco Premium Portable,On ago smile stop.,Office Supplies,999,14,SeaShell,XL
18,Fast Watch Microphone Microphone,Behind home imagine enter think next whole cell.,Haircare,868,416,Fuchsia,M
19,Clean Dock Mixer Router,Democratic cost use air data push.,Toys & Games,411,202,Ivory,Large
20,Cooker Brush,Human office industry threat blue.,Headphones & Earbuds,280,124,Orchid,50x70 cm
21,Premium Cooler Premium Sense,Though knowledge hand.,"Accessories (Bags, Hats, Belts)",448,634,Magenta,M
22,Digital Powerbank Rechargeable Wireless,Few from outside role.,Health & Wellness,612,413,SkyBlue,S
23,Digital Drone Advanced,Send speech product member.,Clothing & Apparel,517,738,AliceBlue,Medium
24,Automatic Thermostat Drone Heater,Learn raise possible easy treatment.,Kitchen Appliances,182,86,Lavender,XL
25,Clean Webcam Powerbank Portable Compact,Investment ability bring recognize meeting husband guess.,Toys & Games,935,415,MediumVioletRed,S
26,Headphones,To even operation down.,Team Sports,35,527,Salmon,Large
27,Fan Iron Cooker,Body perhaps own south always common never.,Health & Wellness,926,848,SlateBlue,Large
28,Wireless Printer Fan Compact Plus,Network financial draw sport season push nation.,Home & Kitchen,934,479,SeaGreen,10x10 cm
29,Ultra Projector Rechargeable,Care environment stay might rock guess.,Books & Stationery,282,953,Khaki,S
30,Blender Toaster Camera,Great might hair occur certainly.,Books & Stationery,90,680,Sienna,Large
31,Treadmill,Role hotel test meeting probably reduce.,Toys & Games,537,646,DarkViolet,L
32,Portable Webcam Powerbank Rechargeable Advanced,Enter decade indicate.,Fitness Equipment,177,710,Khaki,8x10 in
33,Fan Phone,Term collection whatever the.,Camping & Hiking,335,921,SkyBlue,50x70 cm
34,Pro Stove Eco Smart,Consumer leave media wrong nor word.,Cycling,663,695,Crimson,XXL
35,Charger,Phone mention really reach.,Fitness Equipment,596,52,Green,L
36,Fan Phone,Smile market would trouble center.,Laptops & Computers,385,219,Orchid,10x10 cm
37,Fan Powerbank,Your tree never bit each this rock.,Kids' Clothing,825,93,DarkSlateGray,8x10 in
38,Premium Router Lamp,Daughter interesting ball way.,Home Decor,245,243,SlateBlue,100x200 mm
39,Smart Keyboard Toaster Monitor,State almost summer board church tree former.,Cameras & Accessories,573,671,DarkGoldenRod,Large
40,Pro Iron Drone Ultra,Like find store police single.,Shoes & Footwear,536,188,GhostWhite,Medium
41,Fan,Thing least interest around building table.,Books & Stationery,783,56,Magenta,XS
42,Fast Cooler Prime Advanced,Particularly gas security land.,Team Sports,181,117,LightSlateGray,M
43,Advanced Webcam Printer,Argue maybe TV media change it.,"Accessories (Bags, Hats, Belts)",914,136,Cyan,12x18 in
